,ratings,no_of_ratings
0,4.1,302505.0
1,4.1,459652.0
2,4.1,302505.0
3,4.1,119763.0
4,4.1,20448.0
5,3.9,104438.0
6,4.2,72547.0
7,4.1,302505.0
8,3.9,832.0
9,4.1,459652.0
10,4.1,459652.0
11,4.1,302505.0
12,4.0,126014.0
13,4.0,51268.0
14,4.1,459652.0
15,4.1,119763.0
16,4.1,459652.0
17,4.2,38623.0
18,4.2,72547.0
19,4.1,302505.0
20,4.1,227620.0
21,4.0,51268.0
22,4.2,60393.0
23,4.0,51268.0
24,4.1,72593.0
25,3.9,832.0
26,4.1,72593.0
27,4.2,38623.0
28,4.1,119763.0
29,4.2,60231.0
30,3.8,3458.0
31,3.9,38400.0
32,4.1,119763.0
33,4.1,72593.0
34,4.0,126014.0
35,4.1,20448.0
36,4.2,60231.0
37,4.1,227620.0
38,4.0,21257.0
39,4.1,119763.0
40,4.1,119763.0
41,4.1,459652.0
42,3.6,256.0
43,4.2,74928.0
44,4.1,459652.0
45,4.2,74928.0
46,4.1,29910.0
47,4.1,227620.0
48,4.1,60646.0
49,3.8,10030.0
50,4.2,38623.0
51,3.8,168.0
